date,headline,snippet,url
2020-01-01,"Fazle Abed, Founder of a Leading Relief Agency, Dies at 83","Mr. Abed gave up a job as a senior executive at a multinational company to start BRAC after he saw his native land, Bangladesh, devastated by war.",https://www.nytimes.com/2020/01/01/world/asia/fazle-hasan-abed-dead.html
2020-01-01,The Lesson of an Albanian Earthquake: The Balkans Aren’t Ready for the Big One,"Successive governments have failed to address the risks posed by aging buildings and shoddy construction, leaving millions vulnerable.",https://www.nytimes.com/2020/01/01/world/europe/earthquake-albania-balkans.html
2020-01-01,20 Books We’re Watching For in 2020,"Political memoirs, debut novels, long-awaited follow-ups: Here’s what we’re looking forward to reading this year.",https://www.nytimes.com/2020/01/01/books/2020-books.html
2020-01-01,Only You Can Prevent Dystopia,How to survive the internet in 2020. (It’s not going to be easy.),https://www.nytimes.com/2020/01/01/opinion/social-media-2020.html
2020-01-01,Every Moment With My Son Is an Act of Creation,Now we have written a book together.,https://www.nytimes.com/2020/01/01/opinion/fatherhood-sons.html
2020-01-01,"90,000 Jews Gather to Pray and Defy a Wave of Hate",A celebration to mark the end of a cycle of Talmudic study carried extra meaning in the wake of deadly anti-Semitic attacks.,https://www.nytimes.com/2020/01/01/nyregion/jewish-attacks-monsey-Daf-Yomi.html
2020-01-01,Shock Waves From American Airstrikes in Iraq May Have Just Begun,Retaliation against an Iran-backed militia set off anti-American protests that could strengthen Iran’s hand.,https://www.nytimes.com/2020/01/01/opinion/iraq-embassy-iran.html
2020-01-01,"Victim of Anti-Semitic Rampage Is Unlikely to Awake From Coma, Family Says","“Doctors are not optimistic,” the man’s relatives said several days after the stabbing attack at a Hanukkah celebration left him with likely brain damage.",https://www.nytimes.com/2020/01/01/nyregion/antisemitic-attacks-monsey.html
2020-01-01,"North Korea, Iraq, Australia fires: Your Thursday Briefing",Here’s what you need to know.,https://www.nytimes.com/2020/01/01/briefing/north-korea-iraq-embassy-australia-fires.html
2020-01-01,One Thing You Can Do: Make Your New Year’s Resolutions Count,"Also this week, holiday fireworks in Iceland and beyond",https://www.nytimes.com/2020/01/01/climate/nyt-climate-newsletter-resolutions-fireworks.html
2020-01-01,"David Stern, Transformative N.B.A. Commissioner, Dies at 77",His marketing vision turned the world’s premier professional basketball league into a global brand with its biggest stars as its ambassadors.,https://www.nytimes.com/2020/01/01/sports/basketball/david-stern-dead.html
2020-01-01,It’s an Old and Insidious Hatred. And New Yorkers Can’t Stand for It.,A show of support for the true spirit of New York.,https://www.nytimes.com/2020/01/01/opinion/anti-semitism-new-york.html
2020-01-01,"Don’t Drink and Drive, Republican Leader Said. Then He Was Arrested.",The top Republican in the New York State Assembly said he would resign his leadership position after he admitted to driving while drunk.,https://www.nytimes.com/2020/01/01/nyregion/ny-legislator-drunk-driving.html
2020-01-01,David Stern Saw Where the Sports World Was Headed Long Before It Got There,"Stern was a visionary who understood that pro athletes were seeking more power in their sports. While other commissioners tried to stop the effort, he used it to his advantage.",https://www.nytimes.com/2020/01/01/sports/david-stern-death-legacy.html
2020-01-01,He’s Not ‘Mayor Pete’ Anymore: Buttigieg’s Successor Is Sworn In,"Pete Buttigieg rose to prominence, and viability as a presidential candidate, as the mayor of South Bend, Ind. Now that tenure has ended.",https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-mayor-south-bend.html
2020-01-01,‘It’s Creepy’: Unexplained Drones Are Swarming by Night Over Colorado,Sheriffs in western Nebraska and eastern Colorado say they don’t know who’s flying the drones — or why. The F.A.A. is investigating.,https://www.nytimes.com/2020/01/01/us/drones-FAA-colorado-nebraska.html
2020-01-01,Pompeo Cancels Ukraine Trip Amid Protests at Embassy in Iraq,A meeting with President Volodymyr Zelensky of Ukraine would have been the first for a top Trump official since the impeachment inquiry began.,https://www.nytimes.com/2020/01/01/us/politics/pompeo-cancels-ukraine-trip.html
2020-01-01,"In a Deadly Start to 2020, Gunfire Erupts Across America","It was a typical start to the new year in a country accustomed to gun violence, despite an overall drop in violent crime nationwide.",https://www.nytimes.com/2020/01/01/us/new-year-shootings.html
2020-01-01,5 Cheap(ish) Things for Your Home Gym,Transform a corner of your home into a spot where fitness goals can take shape and be realized.,https://www.nytimes.com/2020/01/01/smarter-living/5-cheap-ish-things-for-your-home-gym.html
2020-01-02,Already Had Plenty of Trump 2020?,"He’s a bad show, but it’s not low-flow.",https://www.nytimes.com/2020/01/01/opinion/trump-2020.html
2020-01-02,Why Did One-Quarter of the World’s Pigs Die in a Year?,"Swine fever devastated China’s stock because with unsound governance, even sound regulations have perverse effects.",https://www.nytimes.com/2020/01/01/opinion/china-swine-fever.html
2020-01-02,Coast Guard Suspends Search for 5 Missing After Fishing Boat Sinks Off Alaska,"Two of seven crew members were rescued after the Scandies Rose, a 130-foot-long crab fishing vessel, sank on Tuesday night, the Coast Guard said.",https://www.nytimes.com/2020/01/01/us/scandies-rose-fishing-boat-alaska.html
2020-01-02,"N.B.A. Superstars, Growth and Lockouts: The David Stern Years","The longtime commissioner received acclaim for building the league into a vital global business, but he also was at the center of contentious disputes.",https://www.nytimes.com/2020/01/01/sports/basketball/david-stern-commissioner-timeline.html
2020-01-02,"In Rose Bowl Victory Over Wisconsin, Oregon Shows Rebuild Needs Work",The Ducks managed to win with only 204 yards in total offense — the fewest by a team in the Rose Bowl since 1979.,https://www.nytimes.com/2020/01/01/sports/ncaafootball/rose-bowl-oregon.html
2020-01-02,Where Darth Vader Gets His Strength,Ed Sessa turns the lights out on us.,https://www.nytimes.com/2020/01/01/crosswords/daily-puzzle-2020-01-02.html
2020-01-02,"Don Larsen, Yankee Who Pitched Only Perfect Game in World Series History, Dies at 90","He retired after 14 seasons with a losing record for his career, but for one day in 1956 he was the picture of perfection.",https://www.nytimes.com/2020/01/01/obituaries/don-larsen-dead.html
2020-01-02,"No Corrections: Jan. 2, 2020","No corrections appeared in print on Thursday, Jan. 2, 2020.",https://www.nytimes.com/2020/01/01/pageoneplus/corrections-jan-02-2020.html
2020-01-02,"India Cold Wave Breaks Records, Shuts Schools and Makes Bad Air Worse","Across the north, including New Delhi, plunging temperatures have caused a run on shelters in a region more used to extreme heat.",https://www.nytimes.com/2020/01/01/world/asia/india-cold-pollution.html
2020-01-02,Quotation of the Day: Pika-Who? How Canada’s Military Reacted to a Pokémon Go Invasion,"Quotation of the Day for Thursday, January 2, 2020.",https://www.nytimes.com/2020/01/01/todayspaper/quotation-of-the-day-pika-who-how-canadas-military-reacted-to-a-pokemon-go-invasion.html
2020-01-02,Head-Scarf Ban and Carbon Taxes: Austria Gets an Unlikely Government,"After months of talks, Sebastian Kurz’s conservatives and progressive Greens agreed on a coalition that could be a harbinger for the rest of Europe.",https://www.nytimes.com/2020/01/02/world/europe/austria-kurz-greens-coalition-government.html
2020-01-02,Your Thursday Briefing,"Austria, Australia fires, 2020: Here’s what you need to know.",https://www.nytimes.com/2020/01/02/briefing/austria-australia-fires-2020.html
2020-01-02,What’s on TV Thursday: ‘Breakthrough’ and ‘Surviving R. Kelly Part II’,A drama based on a miraculous Missouri incident airs on HBO. And Lifetime airs a follow-up to its much-viewed R. Kelly documentary series.,https://www.nytimes.com/2020/01/02/arts/television/whats-on-tv-thursday-surviving-r-kelly-part-ii.html
2020-01-02,Word + Quiz: subsume,This word has appeared in 19 articles on NYTimes.com in the past year.,https://www.nytimes.com/2020/01/02/learning/word-quiz-subsume.html
2020-01-02,Taiwan’s Top Military Official and 7 Others Die in Helicopter Crash,The helicopter was carrying military personnel to an event in northeastern Taiwan when it went down on a wooded mountainside.,https://www.nytimes.com/2020/01/02/world/asia/taiwan-military-chief-helicopter-crash.html
2020-01-02,"New Year, New You?",What are your resolutions for 2020?,https://www.nytimes.com/2020/01/02/learning/new-year-new-you.html
2020-01-02,‘Surviving R. Kelly’ Night One Recap: Threats and New Abuse Details,"A new Lifetime series examines the criminal charges against the singer, and how accusing him changed the lives of the women who came forward.",https://www.nytimes.com/2020/01/02/arts/television/surviving-r-kelly-2.html
2020-01-02,How David Stern Navigated Race in the N.B.A.,"Stern was known as a fierce negotiator who was considerate of the racial implications of overseeing a mostly black league, though he also faced criticism for some of his decisions.",https://www.nytimes.com/2020/01/02/sports/basketball/david-stern-nba.html
2020-01-02,Flash Floods in Indonesia Leave Hundreds of Thousands Homeless,"At least 43 people have been killed in the most intense rains to strike Jakarta, the country’s capital, since record keeping began.",https://www.nytimes.com/2020/01/02/world/asia/indonesia-jakarta-rain-floods.html
2020-01-02,"Lesson of the Day: ‘The Machines Are Learning, and So Are the Students’","In this lesson, students will learn about how A.I. is changing education and imagine how the machine learning revolution will shape the schools of the future.",https://www.nytimes.com/2020/01/02/learning/lesson-of-the-day-the-machines-are-learning-and-so-are-the-students.html
2020-01-02,"For Their First New York Purchase, a Couple Cast a Wide Net. Which of These Homes Would You Choose? ","Bushra and Surya Sayed-Ganguly wanted two bedrooms, two bathrooms and a reasonable commute to Midtown. Here’s where they wound up.",https://www.nytimes.com/interactive/2020/01/02/realestate/02hunt-ganguly.html
2020-01-02,What Are Your Predictions for the New Year and the New Decade?,"What do you think will change in our world in terms of culture, politics and technology in the next 10 years?",https://www.nytimes.com/2020/01/02/learning/what-are-your-predictions-for-the-new-year-and-the-new-decade.html
2020-01-02,Thanks for the Piece of Plastic?,"My friends gave me a gift card. When I tried to use it, the balance was zero.",https://www.nytimes.com/2020/01/02/style/thanks-for-the-piece-of-plastic.html
2020-01-02,How Ursula K. Le Guin Fooled the Poet Robert Hass,"“I thought that I had discovered that I loved science fiction,” says Hass, whose new collection is “Summer Snow.” Then he “read a lot of it and discovered that I just loved Ursula Le Guin.”",https://www.nytimes.com/2020/01/02/books/review/robert-hass-by-the-book-interview.html
2020-01-02,Writing a Book Is a Solitary Endeavor. Publishing One Is a Group Effort.,We checked in with industry veterans to find out what it’s like to be on a team that creates a best seller — and to hear their most memorable experiences sharing the news.,https://www.nytimes.com/2020/01/02/books/review/inside-the-list-the-making-of-a-bestseller.html
2020-01-02,What Is the Keto Diet and Does It Work?,"Yes. But we don’t know how effective, or for how long.",https://www.nytimes.com/2020/01/02/style/self-care/keto-diet-explained-benefits.html
2020-01-02,New Art Museum Adds to Sarasota’s Cultural Heritage,"Residents, staff and donors hope the Sarasota Art Museum of Ringling College will provide a cross section of contemporary art as layered as Sarasota itself.",https://www.nytimes.com/2020/01/02/travel/sarasota-art-museum-ringling.html
2020-01-02,A Different Way to Show Readers the World,"In Dispatches, our international correspondents tell highly visual stories that say more about the places they cover than the day’s news.",https://www.nytimes.com/2020/01/02/reader-center/dispatches-international-news-features-journals.html
2020-01-02,Why Is America So Depressed?,"It’s no coincidence that our politics and our mental health have declined so rapidly, at the same time.",https://www.nytimes.com/2020/01/02/opinion/depression-america-trump.html
2020-01-02,Hypersonic Missiles Are a Game Changer,No existing defenses can stop such weapons — which is why everyone wants them.,https://www.nytimes.com/2020/01/02/opinion/hypersonic-missiles.html
2020-01-02,"Denying a Professor Tenure, Harvard Sparks a Debate Over Ethnic Studies","Some students of color say that even as the university defends its use of race in admissions, it devalues their experiences and fails to retain professors who support them.",https://www.nytimes.com/2020/01/02/us/harvard-latinos-diversity-debate.html
2020-01-02,An Old Battle Resumes at the Supreme Court,The Trump administration seeks to undermine a key protection against unlawful detention.,https://www.nytimes.com/2020/01/02/opinion/guantanamo-detention-supreme-court.html
2020-01-02,What to See Right Now in New York Art Galleries,A baroness’s watercolors; Jasper Johns’s crosshatches; a survey of abstract photography; and Alice Miceli’s radiographs of Chernobyl.,https://www.nytimes.com/2020/01/02/arts/design/new-york-art-galleries.html
2020-01-02,Frederick’s of Hollywood Goes From Racy to ‘Real’,The fabled lingerie label tweaks its image to lure younger women.,https://www.nytimes.com/2020/01/02/style/fredericks-of-hollywood-underwear.html
